2023-03-08 17:37:47 install libcom-err2:amd64 <none> 1.46.5-2ubuntu1
2023-03-08 17:37:47 status half-installed libcom-err2:amd64 1.46.5-2ubuntu1
2023-03-08 17:37:47 status unpacked libcom-err2:amd64 1.46.5-2ubuntu1
2023-03-08 17:37:47 install libcrypt1:amd64 <none> 1:4.4.27-1
2023-03-08 17:37:47 status half-installed libcrypt1:amd64 1:4.4.27-1
2023-03-08 17:37:48 status unpacked libcrypt1:amd64 1:4.4.27-1
2023-03-08 17:37:48 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.8ubuntu3
2023-03-08 17:37:48 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.8ubuntu3
2023-03-08 17:37:48 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.8ubuntu3
2023-03-08 17:37:48 install libdebconfclient0:amd64 <none> 0.261ubuntu1
2023-03-08 17:37:48 status half-installed libdebconfclient0:amd64 0.261ubuntu1
2023-03-08 17:37:48 status unpacked libdebconfclient0:amd64 0.261ubuntu1
2023-03-08 17:37:48 install libext2fs2:amd64 <none> 1.46.5-2ubuntu1
2023-03-08 17:37:48 status half-installed libext2fs2:amd64 1.46.5-2ubuntu1
2023-03-08 17:37:48 status unpacked libext2fs2:amd64 1.46.5-2ubuntu1
2023-03-08 17:37:48 install libgcc-s1:amd64 <none> 12-20220319-1ubuntu1
2023-03-08 17:37:48 status half-installed libgcc-s1:amd64 12-20220319-1ubuntu1
2023-03-08 17:37:48 status unpacked libgcc-s1:amd64 12-20220319-1ubuntu1
2023-03-08 17:37:48 install libgcrypt20:amd64 <none> 1.9.4-3ubuntu3
2023-03-08 17:37:48 status half-installed libgcrypt20:amd64 1.9.4-3ubuntu3
2023-03-08 17:37:48 status unpacked libgcrypt20:amd64 1.9.4-3ubuntu3
2023-03-08 17:37:48 install libgmp10:amd64 <none> 2:6.2.1+dfsg-3ubuntu1
2023-03-08 17:37:48 status half-installed libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2023-03-08 17:37:48 status unpacked libgmp10:amd64 2:6.2.1+dfsg-3ubuntu1
2023-03-08 17:37:48 install libgpg-error0:amd64 <none> 1.43-3
2023-03-08 17:37:48 status half-installed libgpg-error0:amd64 1.43-3
2023-03-08 17:37:48 status unpacked libgpg-error0:amd64 1.43-3
2023-03-08 17:37:48 install libgssapi-krb5-2:amd64 <none> 1.19.2-2
2023-03-08 17:37:48 status half-installed libgssapi-krb5-2:amd64 1.19.2-2
2023-03-08 17:37:48 status unpacked libgssapi-krb5-2:amd64 1.19.2-2
2023-03-08 17:37:48 install libk5crypto3:amd64 <none> 1.19.2-2
2023-03-08 17:37:48 status half-installed libk5crypto3:amd64 1.19.2-2
2023-03-08 17:37:48 status unpacked libk5crypto3:amd64 1.19.2-2
2023-03-08 17:37:48 install libkeyutils1:amd64 <none> 1.6.1-2ubuntu3
2023-03-08 17:37:48 status half-installed libkeyutils1:amd64 1.6.1-2ubuntu3
2023-03-08 17:37:48 status unpacked libkeyutils1:amd64 1.6.1-2ubuntu3
2023-03-08 17:37:49 install libkrb5-3:amd64 <none> 1.19.2-2
2023-03-08 17:37:49 status half-installed libkrb5-3:amd64 1.19.2-2
2023-03-08 17:37:49 status unpacked libkrb5-3:amd64 1.19.2-2
2023-03-08 17:37:49 install libkrb5support0:amd64 <none> 1.19.2-2
2023-03-08 17:37:49 status half-installed libkrb5support0:amd64 1.19.2-2
2023-03-08 17:37:49 status unpacked libkrb5support0:amd64 1.19.2-2
2023-03-08 17:37:49 install liblz4-1:amd64 <none> 1.9.3-2build2
2023-03-08 17:37:49 status half-installed liblz4-1:amd64 1.9.3-2build2
2023-03-08 17:37:49 status unpacked liblz4-1:amd64 1.9.3-2build2
2023-03-08 17:37:49 install liblzma5:amd64 <none> 5.2.5-2ubuntu1
2023-03-08 17:37:49 status half-installed liblzma5:amd64 5.2.5-2ubuntu1
2023-03-08 17:37:49 status unpacked liblzma5:amd64 5.2.5-2ubuntu1
2023-03-08 17:37:49 install libmount1:amd64 <none> 2.37.2-4ubuntu3
2023-03-08 17:37:49 status half-installed libmount1:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:49 status unpacked libmount1:amd64 2.37.2-4ubuntu3
2023-03-08 17:37:49 install libncurses6:amd64 <none> 6.3-2
2023-03-08 17:37:49 status half-installed libncurses6:amd64 6.3-2
2023-03-08 17:37:49 status unpacked libncurses6:amd64 6.3-2
2023-03-08 17:37:49 install libncursesw6:amd64 <none> 6.3-2
2023-03-08 17:37:49 status half-installed libncursesw6:amd64 6.3-2
2023-03-08 17:37:49 status unpacked libncursesw6:amd64 6.3-2
2023-03-08 17:37:49 install libnsl2:amd64 <none> 1.3.0-2build2
2023-03-08 17:37:49 status half-installed libnsl2:amd64 1.3.0-2build2
2023-03-08 17:37:49 status unpacked libnsl2:amd64 1.3.0-2build2
2023-03-08 17:37:49 install libpam-modules:amd64 <none> 1.4.0-11ubuntu2
2023-03-08 17:37:49 status half-installed libpam-modules:amd64 1.4.0-11ubuntu2
2023-03-08 17:37:49 status unpacked libpam-modules:amd64 1.4.0-11ubuntu2
2023-03-08 17:37:49 install libpam-modules-bin:amd64 <none> 1.4.0-11ubuntu2
2023-03-08 17:37:49 status half-installed libpam-modules-bin:amd64 1.4.0-11ubuntu2
2023-03-08 17:37:49 status unpacked libpam-modules-bin:amd64 1.4.0-11ubuntu2
2023-03-08 17:37:50 install libpam-runtime:all <none> 1.4.0-11ubuntu2
2023-03-08 17:37:50 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2023-03-08 17:37:50 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2023-03-08 17:37:50 install libpam0g:amd64 <none> 1.4.0-11ubuntu2
2023-03-08 17:37:50 status half-installed libpam0g:amd64 1.4.0-11ubuntu2
2023-03-08 17:37:50 status unpacked libpam0g:amd64 1.4.0-11ubuntu2
2023-03-08 17:37:50 install libpcre2-8-0:amd64 <none> 10.39-3build1
